iter	MultiClass
0	1.621238738
1	1.299226879
2	1.109232189
3	0.9757350334
4	0.8931493569
5	0.8046930442
6	0.7323754953
7	0.6966079743
8	0.6651483492
9	0.6343032558
10	0.6153910415
11	0.5892946181
12	0.57397161
13	0.5627360737
14	0.5496054986
15	0.5421343729
16	0.5355416899
17	0.5329882985
18	0.5289196984
19	0.5286811141
20	0.518901735
21	0.5112958555
22	0.4983410726
23	0.4880222898
24	0.4827874338
25	0.4800653865
26	0.4740323683
27	0.4739890085
28	0.468726439
29	0.4642952752
30	0.4611286099
31	0.4576775847
32	0.4515206427
33	0.4477192004
34	0.4471578343
35	0.4427307437
36	0.4425050598
37	0.4373575498
38	0.4320481115
39	0.4286039221
40	0.4244811022
41	0.4204498143
42	0.4170734416
43	0.4142956548
44	0.4108953992
45	0.408767473
46	0.4021019444
47	0.4001349037
48	0.394959017
49	0.3907007838
50	0.3883569889
51	0.3852798519
52	0.3824373348
53	0.3799257341
54	0.3767514605
55	0.3740532766
56	0.372174179
57	0.3678154297
58	0.3656791717
59	0.3633191322
60	0.3605707401
61	0.3576780965
62	0.355411315
63	0.3526425237
64	0.3485585356
65	0.3453410991
66	0.3430466724
67	0.3409931244
68	0.3381224005
69	0.3353174196
70	0.3345728016
71	0.331790679
72	0.3295449189
73	0.3275773023
74	0.3265627556
75	0.3255392644
76	0.3233251067
77	0.3218852072
78	0.3193167084
79	0.3168909025
80	0.3140832432
81	0.3125653668
82	0.3103736086
83	0.3088908962
84	0.3074017082
85	0.30429419
86	0.3027916315
87	0.3020177181
88	0.3009230346
89	0.2983760748
90	0.2954707701
91	0.293198957
92	0.2909112496
93	0.2879297043
94	0.2867954262
95	0.2840316349
96	0.2823463271
97	0.2811155123
98	0.2793397041
99	0.2771971134
100	0.2755373364
101	0.2736021109
102	0.2722016098
103	0.270787578
104	0.2684100206
105	0.2661450462
106	0.2640297404
107	0.2628482642
108	0.2616018721
109	0.2598882052
110	0.2593548968
111	0.2573475942
112	0.2563903785
113	0.2546052603
114	0.252067417
115	0.2501564113
116	0.2491882318
117	0.2475803144
118	0.2460576722
119	0.2443845136
120	0.2430209124
121	0.2418086211
122	0.2411335235
123	0.2398214837
124	0.2382400507
125	0.236951242
126	0.2340277375
127	0.2331410683
128	0.2316688953
129	0.2306220201
130	0.2295593585
131	0.2276676174
132	0.2260982191
133	0.2245985152
134	0.2236628804
135	0.221620108
136	0.2205611727
137	0.2188101943
138	0.2178984544
139	0.2170774892
140	0.2160242751
141	0.214852931
142	0.2143118754
143	0.2129805111
144	0.2121784658
145	0.2106016623
146	0.2094150383
147	0.2081646797
148	0.2074311694
149	0.2063056968
