iter	Passed	Remaining
0	30	4583
1	50	3747
2	69	3414
3	88	3247
4	108	3160
5	130	3129
6	151	3098
7	162	2884
8	181	2840
9	200	2808
10	218	2758
11	236	2724
12	245	2591
13	261	2539
14	279	2517
15	297	2495
16	307	2403
17	324	2376
18	343	2369
19	350	2279
20	366	2250
21	384	2238
22	405	2237
23	423	2225
24	441	2208
25	457	2183
26	474	2159
27	481	2095
28	496	2070
29	513	2054
30	518	1992
31	524	1935
32	541	1918
33	558	1904
34	576	1894
35	596	1887
36	608	1859
37	627	1850
38	646	1841
39	665	1830
40	683	1818
41	701	1804
42	718	1787
43	734	1770
44	751	1754
45	768	1738
46	788	1726
47	806	1712
48	825	1701
49	845	1690
50	864	1678
51	882	1663
52	903	1653
53	925	1644
54	944	1631
55	964	1619
56	984	1606
57	1003	1591
58	1021	1575
59	1039	1559
60	1060	1547
61	1083	1537
62	1102	1522
63	1121	1507
64	1140	1491
65	1161	1477
66	1180	1463
67	1206	1454
68	1228	1441
69	1254	1433
70	1273	1416
71	1293	1401
72	1312	1384
73	1329	1365
74	1346	1346
75	1363	1327
76	1380	1308
77	1398	1290
78	1414	1270
79	1431	1252
80	1447	1232
81	1463	1213
82	1481	1195
83	1498	1177
84	1516	1159
85	1535	1142
86	1552	1124
87	1569	1105
88	1585	1086
89	1601	1067
90	1618	1049
91	1634	1030
92	1650	1011
93	1667	993
94	1683	974
95	1701	956
96	1719	939
97	1738	922
98	1756	904
99	1775	887
100	1795	871
101	1816	854
102	1841	840
103	1864	824
104	1884	807
105	1911	793
106	1939	779
107	1980	770
108	2008	755
109	2033	739
110	2053	721
111	2071	702
112	2090	684
113	2112	667
114	2136	650
115	2161	633
116	2188	617
117	2214	600
118	2242	584
119	2269	567
120	2289	548
121	2310	530
122	2331	511
123	2351	493
124	2377	475
125	2398	456
126	2415	437
127	2433	418
128	2452	399
129	2472	380
130	2490	361
131	2508	342
132	2525	322
133	2543	303
134	2562	284
135	2580	265
136	2598	246
137	2617	227
138	2636	208
139	2655	189
140	2673	170
141	2693	151
142	2711	132
143	2727	113
144	2743	94
145	2761	75
146	2778	56
147	2794	37
148	2811	18
149	2829	0
