user_id,rating,speed_max,ride_cost,true_final_ride_cost
J19512539T,6.73,78.0,4934,4687
B22315336q,7.46,72.0,235,223
y82944196A,4.86,168.18102946498524,63835,67026
G66226901h,7.7,74.0,780,741
V24342105N,1.09,127.0,891,935
z66713978z,5.76,60.0,520,546
r16822807g,3.32,124.71951607271812,311377,326945
R11216705I,4.36,93.91539636333526,465,488
k10388548v,4.53,39.0,194753,204490
B61964657n,4.96,65.0,104,109
r10712510H,3.91,75.0,113,118
H78033073P,1.6,51.0,347,364
P73311585i,4.48,68.0,2598,2727
u18530893B,5.52,136.24516070899364,723,759
b80446733A,3.04,68.44505047754753,39,40
T21181902Y,0.1,136.0,294,308
L61930986g,1.16,73.0,5099,5353
X14646054G,4.88,41.0,895095,939849
E37042892I,7.31,55.0,344,326
I20997735N,4.49,66.0,2348,2465
c77447598t,8.66,91.03627709894876,199,189
B22187593o,5.08,71.0,938,984
G84350611k,5.04,101.16525674481844,84,88
k11687633A,2.14,70.0,35,36
H11846094G,1.35,113.65925094175378,223,234
d48325238y,4.44,83.0,643,675
E18942065I,7.94,69.87405433636738,587,557
a99265099l,4.7,67.24699054314038,762,800
Z15899219f,1.26,111.96005464043816,600,630
n52100827R,3.73,51.4607285232233,955,1002
D13386342l,3.4,63.32505193026619,458,480
l14055483f,2.86,63.0,634,665
b10925946Q,3.2,71.86001327394001,283,297
B91662850q,0.6,76.0,259077,272030
C19323290r,0.1,134.46616376195766,552,579
S86638137H,5.48,91.0,1970,2068
H17837585Q,5.71,74.46552822607035,227,238
c73177223m,3.99,74.0,594,623
z90251653O,3.55,75.42287965353296,201,211
U77574453h,4.23,51.0,300,315
p22952834R,5.55,70.0,146,153
X61503841z,6.97,61.249551850198095,84,79
y11053626r,5.59,66.0,412,432
G20934858H,5.71,71.0,129,135
s13768401s,7.03,56.0,486,461
r85553790A,7.16,46.0,671,637
C29159727f,5.13,112.0,305,320
O20071744W,4.68,62.0,585,614
j13927047I,3.49,69.0,149,156
b18511128y,4.69,79.0,428,449
o16523701y,2.98,73.0,373,391
K88666870E,4.88,83.78015389239822,85,89
o10233894M,6.95,45.0,381,361
x15902063M,4.6,38.66062300922805,320,336
Z19494965V,4.23,76.0,54248,56960
w10436950p,5.25,33.0,156,163
i65808315j,5.34,108.0,1073,1126
G67206863X,4.42,69.0,74,77
B11191837J,4.37,60.97497280046692,456,478
z58000209l,4.26,92.40112979629728,308281,323695
y65814207G,4.81,62.0,1315,1380
R92791334J,0.55,119.34453738244687,595,624
r18377819Z,4.97,79.44915335710911,314,329
q15912600G,5.33,51.0,1344,1411
g13523999A,7.1,52.0,452,429
v11490099b,1.32,177.95574729705802,486,510
j29153692d,8.15,81.0,321,304
w10670753l,0.66,90.6061621218754,531,557
h30763250w,4.0,98.0,476,499
q71466786B,5.06,75.0,1290,1354
Z17038085H,2.53,88.84368196080253,709,744
D80381587U,6.08,95.0,380,361
M11070857t,0.1,118.5148762166326,763,801
e54970491j,3.3,70.0,714,749
P20304729R,0.1,62.0,315,330
H10118787p,3.76,102.85630798148392,174,182
S21992542q,4.12,87.0,3353,3520
E55178886k,3.93,80.0,106,111
W19370082b,9.3,119.0,699,664
A12040218s,5.21,42.0,74,77
M14058750h,2.97,137.04028951208008,419,439
p55536124T,3.54,86.0,2360,2478
z91998871N,4.73,89.37108422037842,451,473
V89238156Y,1.67,50.0,150,157
O43084447G,4.82,94.09793784449492,679,712
g69690476M,2.77,73.0,298,312
O19801229a,2.81,107.0,592,621
h18991956z,4.1,40.0,985,1034
i36257782t,2.05,110.0,556921,584767
w12659534I,3.16,112.07563842296943,330,346
V13490090g,6.97,35.0,795,755
v21124740L,5.79,88.0,1212,1272
i14790174s,4.86,76.0,737,773
K82300611P,4.79,49.0,1436,1507
M36525896L,1.39,65.0,929,975
W34824642c,1.55,159.09478647027964,1704,1789
y70362364p,4.7,94.59653093162228,333,349
k20669275M,1.18,50.75247678149103,294,308
h12083929g,4.73,111.89202570947512,2940,3087
p14744581M,7.74,43.0,377,358
