car_id,ride_id,rating,ride_duration,ride_cost
b14467388K,Z1C,5.03,22,237
d-1627526q,a1x,1.14,131,1567
S16201816J,x1Q,6.19,115,1833
t-8201245H,v1m,8.49,36,319
e63361984l,k1a,5.19,47,370
N-2930071J,Q1e,2.51,15,237
C-8802779C,e1N,4.53,1064,15825
L-1156474z,u1g,5.81,33,391
a-7125351Z,B1a,1.53,13,125
b28091206k,t1b,5.59,38,412
t-1505206e,F1H,6.26,39,502
M13526722v,d1a,7.28,16,795
E-3042252G,q1h,5.65,57,507
J-1782910O,v1V,2.54,481,5765
W-2514493U,C1P,7.88,13,200
G-3730407g,v1e,2.45,7749,100732
X-1102199i,h1n,0.1,31204,374442
M20797256F,e1V,5.01,56,667
E16896376o,B1Q,4.88,26,228
U52942046Z,I1p,9.88,37,364
Y28100048o,K1V,3.96,49,973
X10754765V,M1i,1.62,29,312
m20203244V,F1b,0.1,31,428
I-9571675o,C1f,9.64,66,1051
k72805610d,I1A,6.31,18259,182586
A11461567u,e1i,9.14,37,513
w-7960339R,z1K,8.28,34,539
G62487539y,w1R,5.68,21,162
E16896376o,V1L,6.98,37,512
m-2086369j,W1j,2.55,46,409
L96875350x,X1B,4.52,45,490
Z13161380J,V1h,5.59,29,402
s12154911r,N1w,7.31,40,514
b15256546L,C1N,2.16,79,1259
v-1523714V,u1r,4.61,12,102
h-2930740k,v1b,6.85,42,625
M-2277769E,B1N,4.1,11,82
Z-2128377r,L1z,5.05,95,1037
s-1723833v,I1q,3.94,63,813
I-2222955D,A1p,2.64,247,1970
L-1459492G,h1R,5.53,353,2820
u-1069219e,T1g,1.71,8613,64076
d-1391916M,M1M,3.29,32,250
L-1459492G,k1h,3.85,43,681
S56454866u,i1w,3.7,19,223
r67742622z,G1J,6.63,57,621
e-2141689x,D1t,4.12,50,693
n55774167X,W1W,3.68,45,716
x39431048L,u1u,4.3,40,634
x-5093569t,X1W,6.83,502,8028
