car_id,ride_id,user_id,rating,ride_cost,true_car_ride_count,true_user_rating_max,true_user_ride_cost_mean
D17587481H,E1V,Q20675647n,1.96,282,3,1.96,282.0
w13176062d,V1h,O11803938a,4.45,308,4,4.45,308.0
s-2202835E,B1g,u20234217o,2.76,525,4,2.76,525.0
H-1213278K,i1U,c19828320U,7.12,6154,5,7.12,6154.0
H-2108091L,j1Z,l90945335K,1.68,539,4,1.68,539.0
w13176062d,Z1u,B22315336q,4.22,5065,4,4.22,5065.0
P52156891U,p1H,z20298839s,7.29,78515,1,7.29,78515.0
q-1536726P,g1M,m20570785V,1.99,806,3,1.99,806.0
g-1247997Z,o1U,q12768126R,4.52,974,4,4.52,974.0
W-1942072H,O1Z,D16051881Q,5.68,204,2,5.68,204.0
a97165984P,j1Z,g77384473V,7.17,583,1,7.17,463.5
j-1094740D,j1x,a19961719I,1.8,955,7,1.8,955.0
h13802624r,v1J,V31734816n,0.1,574,1,4.22,650.0
V-1623563U,X1B,A50139359D,4.73,258,2,4.73,258.0
H-2108091L,J1t,d14927221q,6.66,3719,4,6.66,3719.0
H29930196K,w1H,p15049416Z,8.55,1231,4,8.55,1231.0
D17587481H,T1Q,P14126241x,5.75,266,3,5.75,266.0
N-3542587r,e1d,F89751800a,4.3,325,1,5.33,313.0
V-1623563U,w1n,i13099257l,7.49,337,2,7.49,337.0
H-2108091L,j1G,G12668780t,3.54,485,4,3.54,485.0
y35650754l,e1Y,h82169565x,3.98,730,1,3.98,730.0
H-1213278K,r1L,W80424564S,3.99,334,5,3.99,334.0
d-2253716j,Z1y,S32049805b,3.7,211,7,3.7,211.0
H-1213278K,j1c,A24444152D,4.43,1699,5,4.43,1699.0
k11571129f,I1y,J33805172S,2.27,588,2,2.27,588.0
g21645452f,Q1n,S12556539I,0.51,195,3,0.51,195.0
O-2688441F,t1g,W18671814q,2.1,474,1,3.28,319.0
q-1536726P,f1i,E10172204g,3.27,73,3,3.27,73.0
X-2170601O,A1r,G13975000v,1.57,794,1,1.57,794.0
B-6025126p,w1c,k18462541e,3.48,444022,3,3.48,444022.0
O13331241u,t1n,W18671814q,3.28,164,1,3.28,319.0
q-1536726P,g1f,o66888115M,3.83,644,3,3.83,644.0
Q15261602W,V1r,H15089324B,2.71,414,1,2.71,414.0
w13176062d,K1m,q60190640n,3.2,358,4,3.2,358.0
d-2253716j,A1i,Y14821458u,3.44,474,7,3.44,474.0
H-1213278K,o1e,S17752533k,1.96,875,5,1.96,875.0
a-1279143n,J1W,g77384473V,3.84,344,1,7.17,463.5
s22484554J,K1E,h14263927c,10.0,470,1,10.0,470.0
H29930196K,l1n,K57802318S,4.14,264156,4,4.14,264156.0
d-2253716j,L1T,X91241382a,2.92,303,7,2.92,303.0
k11571129f,e1j,R15045723u,4.83,1425,2,4.83,1425.0
j-1094740D,o1x,U50596665X,4.63,305,7,4.63,305.0
H29930196K,O1e,w22007789b,7.26,595,4,7.26,595.0
g-1247997Z,e1g,r18142101H,3.83,438,4,3.83,438.0
H-2108091L,g1b,z90251653O,1.54,376,4,1.54,376.0
w12773963K,X1H,J97045513w,3.54,994,1,3.54,994.0
c18052201Q,U1T,F48555814R,4.14,1196,1,4.14,1196.0
R37055375H,e1B,r16134558T,3.62,307,1,3.62,307.0
T11570167i,U1K,Q19616429c,4.16,4266,3,4.16,4266.0
j-1094740D,M1w,n10650305q,7.61,299,7,7.61,299.0
T11570167i,e1W,j16211120w,7.15,399,3,7.15,399.0
d-2253716j,o1Q,T15604125K,2.01,211,7,2.01,211.0
D28621238x,A1L,d83441297Z,5.54,268818,1,5.54,268818.0
T13652201h,L1l,o22702069F,6.39,163,3,6.39,163.0
d-2253716j,o1o,F29506543y,1.62,362,7,1.62,362.0
H-1213278K,d1A,E41456640y,3.38,159,5,3.38,159.0
s73940471Q,h1r,Y19462904M,8.51,126419,1,8.51,126419.0
j-1094740D,t1x,H20551700r,7.0,262,7,7.0,262.0
j-1094740D,N1Q,m16487381f,3.31,21,7,3.31,21.0
j-1549044A,P1G,f20093713K,7.37,189,1,7.37,189.0
B-6025126p,d1Q,x15858766q,7.27,684,3,7.27,684.0
z-1370671x,u1E,V31734816n,4.22,726,1,4.22,650.0
s-2202835E,Z1O,I48477842w,0.38,4974,4,0.38,4974.0
H29930196K,q1w,q21162781v,6.27,103,4,6.27,103.0
T13652201h,d1T,G65758076f,5.64,175,3,5.64,175.0
Z-1646206B,M1k,u28785383v,4.07,123,2,4.07,123.0
d-2253716j,p1V,M96140780Z,8.64,190,7,8.64,190.0
w13176062d,M1R,S57821175N,3.76,215,4,3.76,215.0
s-2202835E,e1a,x11536953Q,3.37,525,4,3.37,525.0
T13652201h,G1t,n15673186i,7.32,546,3,7.32,546.0
S24142286K,r1y,R71862995H,4.79,228,1,4.79,228.0
g-1247997Z,a1i,E16434829r,6.62,526,4,6.62,526.0
d-2253716j,V1J,l84934063A,4.6,1463,7,4.6,1463.0
D17587481H,W1g,E72905270h,8.69,1812,3,8.69,1812.0
s20690018N,E1r,Z20110770s,4.01,517,2,4.01,517.0
U61603538T,L1y,A12283399B,0.24,663,3,0.24,663.0
r-6401544e,b1F,e76419782I,2.45,502,2,2.45,502.0
g21645452f,M1w,p20011841e,2.67,457,3,2.67,457.0
r-6401544e,c1q,m32323800r,1.29,487,2,1.29,487.0
U61603538T,W1k,V25546530M,2.62,585,3,2.62,585.0
g-1247997Z,T1p,h30716182n,3.51,3259,4,3.51,3259.0
T12554358v,d1V,h13131930Y,4.7,973,1,4.7,973.0
v11386552i,Q1T,Z30845632K,5.46,548,2,5.46,548.0
k53344668C,L1q,F89751800a,4.19,314,1,5.33,313.0
b12101843B,X1A,F89751800a,5.33,300,1,5.33,313.0
U61603538T,d1v,u13605549G,6.41,566,3,6.41,566.0
n13675758u,N1W,V15379261p,5.07,487013,1,5.07,487013.0
T11570167i,b1y,p52460864Q,6.32,3515,3,6.32,3515.0
B-6025126p,D1s,I27349458O,2.65,144,3,2.65,144.0
j-1094740D,O1B,l18175848v,5.23,216819,7,5.23,216819.0
I-1538597J,F1Z,m52102712N,0.36,267,2,0.36,267.0
j-1094740D,L1H,H13243601F,4.08,499,7,4.08,499.0
y16050355z,z1P,n19921315L,5.18,724,1,5.18,724.0
Z-1646206B,M1o,F16473703Y,5.17,793,2,5.17,793.0
s-2202835E,G1H,R17428810b,2.58,595,4,2.58,595.0
I-1538597J,E1u,s62773754W,9.8,115,2,9.8,115.0
g21645452f,r1J,a28773047v,4.26,387,3,4.26,387.0
s20690018N,z1A,m35202170I,2.75,155,2,2.75,155.0
v11386552i,z1v,b62669559O,0.88,123261,2,0.88,123261.0
W-1942072H,q1N,H27099396J,5.74,441273,2,5.74,441273.0
