car_id,ride_id,user_id,rating,ride_duration,ride_cost,true_feature_1,true_feature_2,true_feature_3,true_feature_4
v13590850L,m1q,S54951221d,1.38,52,723,599.25,1.0433275563258233,1,52
C-1092574s,q1w,h90416721m,8.36,33572,470001,470001.0,0.0,6,100329
i77678921h,i1i,A15424124M,7.03,49,385,385.0,0.0,3,169
U16614632F,p1m,Q22613814X,6.87,43,510,510.0,0.0,5,320
i55328849i,I1A,N22883211D,4.3,110,1536,1536.0,0.0,10,23108
C-1092574s,k1Q,r18933707Y,0.1,19,185,185.0,0.0,6,100329
Y97882055f,S1K,b61297238i,3.44,125,1119,836.0,1.875282592313489,1,125
i55328849i,V1L,Y16580421n,5.57,76,680,680.0,0.0,10,23108
s20690018N,w1s,P60842443a,3.9,16,138,629.25,0.1902552204176334,0,0
d71004474f,M1o,d18276261h,7.59,128,1275,1275.0,0.0,1,128
K-8425830Q,o1S,b11670922I,0.0,7655,68891,194797.25,1.404406538734897,1,7655
B-3513567K,D1Q,P88080738D,5.04,82,1225,1225.0,0.0,4,17106
i77678921h,M1j,S83036674g,7.53,68,810,810.0,0.0,3,169
R15749283D,e1s,S54951221d,4.39,26,228,599.25,1.0433275563258233,0,0
F15011099W,q1c,F97907764i,3.66,11,83,728.75,1.1662763466042156,0,0
i55328849i,J1V,p90785830f,4.81,126,1631,1631.0,0.0,10,23108
i77678921h,d1K,F17845906t,7.27,31,242,242.0,0.0,3,169
U16614632F,q1g,k11159821L,4.69,11,116,116.0,0.0,5,320
d71004474f,s1t,n95803072P,5.08,39,422,422.0,0.0,1,128
d71004474f,o1m,w19439396P,3.83,21,226,226.0,0.0,1,128
p-3553707D,g1m,O13246583J,6.41,242,1930,1126.25,1.2113564668769716,1,242
u21716903G,b1t,b61297238i,1.57,32,283,836.0,1.875282592313489,0,0
C15710178d,y1q,b11670922I,4.26,57,906,194797.25,1.404406538734897,1,57
B-3513567K,n1S,A50139359D,2.57,16853,505587,505587.0,0.0,4,17106
C-1092574s,H1I,k22770993H,5.88,35,380,380.0,0.0,6,100329
i77678921h,k1Y,B11770399I,6.58,52,410,410.0,0.0,3,169
d71004474f,J1n,X24652962Z,4.05,31,242,242.0,0.0,1,128
M-1528828l,J1c,O13246583J,0.65,26,252,1126.25,1.2113564668769716,0,0
U16614632F,H1I,Y19807931y,4.48,96,1050,1050.0,0.0,5,320
d71004474f,u1a,X89710913u,2.49,38,337,337.0,0.0,1,128
C-1092574s,e1A,B10068549p,7.63,35297,423558,423558.0,0.0,6,100329
U16614632F,p1E,A19063138T,4.41,7,56,56.0,0.0,5,320
n-1234064Z,l1U,F97907764i,5.16,45,356,728.75,1.1662763466042156,1,45
v22254568R,I1X,T68264833M,2.09,142,1272,1272.0,0.0,1,142
z-1104831H,B1A,X20190007y,1.34,48,521,819.0,1.0524710189139719,1,48
d71004474f,F1I,c21223053z,0.1,37,290,290.0,0.0,1,128
B-3513567K,Z1f,f60386576X,6.97,7,344,344.0,0.0,4,17106
U16614632F,g1C,o47610537H,1.93,72,859,859.0,0.0,5,320
i77678921h,V1C,I64402647h,2.06,30,266,266.0,0.0,3,169
U16614632F,e1e,k12349939Z,2.79,5,60,60.0,0.0,5,320
M-4222158J,L1H,X20190007y,4.6,32964,395562,819.0,1.0524710189139719,1,32964
e-4053068Q,H1n,F97907764i,5.78,13,151,728.75,1.1662763466042156,0,0
C-1092574s,a1C,E18977291N,5.28,110,1755,1755.0,0.0,6,100329
i55328849i,y1u,y10409096b,5.43,10934,120267,120267.0,0.0,10,23108
e-1657282o,S1h,n15530453d,4.27,102,1117,1012.0,0.42435424354243556,1,102
i55328849i,f1u,u27817291l,4.9,88,1226,1226.0,0.0,10,23108
D17905231R,K1q,O13246583J,4.85,39,1166,1126.25,1.2113564668769716,0,0
C-1092574s,z1m,T15296868Z,3.13,70,836,836.0,0.0,6,100329
A-4064758I,o1s,b61297238i,7.76,49,436,836.0,1.875282592313489,1,49
B-3513567K,Y1d,x26345994h,3.39,36,1075,1075.0,0.0,4,17106
B-3513567K,n1z,c12527114I,4.77,21,624,624.0,0.0,4,17106
K-1916013Q,y1i,n15530453d,6.57,44,697,1012.0,0.42435424354243556,1,44
B-3513567K,t1V,p20363378k,2.69,52,620,620.0,0.0,4,17106
w-1247066y,P1r,b11670922I,4.94,49,679,194797.25,1.404406538734897,1,49
d-2073713s,G1d,X20190007y,4.79,62,616,819.0,1.0524710189139719,1,62
d71004474f,v1N,m35202170I,5.72,37,364,364.0,0.0,1,128
i55328849i,E1S,L44839231f,4.61,227,3172,3172.0,0.0,10,23108
