feature_1,feature_2,feature_3,label
2.5,0.0,58,B
2.5,0.02,61,B
2.5,0.05,33,B
2.5,0.07,89,B
2.5,0.1,58,B
2.5,0.12,81,B
2.5,0.15,29,B
2.49,0.17,68,B
2.49,0.2,36,B
2.49,0.22,84,B
2.49,0.25,71,B
2.48,0.27,25,B
2.48,0.3,88,B
2.48,0.32,70,B
2.48,0.35,62,B
2.47,0.37,42,B
2.47,0.4,10,B
2.46,0.42,57,B
2.46,0.45,98,B
2.46,0.47,15,B
2.45,0.5,16,B
2.45,0.52,39,B
2.44,0.55,43,B
2.43,0.57,48,B
2.43,0.59,72,B
2.42,0.62,54,B
2.42,0.64,40,B
2.41,0.67,28,B
2.4,0.69,33,B
2.4,0.71,1,B
2.39,0.74,77,B
2.38,0.76,8,B
2.37,0.79,95,B
2.37,0.81,69,B
2.36,0.83,50,B
2.35,0.86,12,B
2.34,0.88,60,B
2.33,0.9,8,B
2.32,0.93,49,B
2.31,0.95,91,B
2.3,0.97,90,B
2.29,1.0,96,B
2.28,1.02,46,B
2.27,1.04,46,B
2.26,1.06,58,B
2.25,1.09,6,B
2.24,1.11,92,B
2.23,1.13,49,B
2.22,1.15,67,B
2.21,1.18,92,B
2.19,1.2,41,B
2.18,1.22,97,B
2.17,1.24,65,B
2.16,1.26,48,B
2.14,1.29,56,B
2.13,1.31,67,B
2.12,1.33,25,B
2.1,1.35,87,B
2.09,1.37,21,B
2.08,1.39,90,B
2.06,1.41,27,B
2.05,1.43,77,B
2.03,1.45,54,B
2.02,1.47,80,B
2.01,1.49,63,B
1.99,1.51,90,B
1.97,1.53,41,B
1.96,1.55,34,B
1.94,1.57,91,B
1.93,1.59,45,B
1.91,1.61,35,B
1.9,1.63,66,B
1.88,1.65,63,B
1.86,1.67,45,B
1.85,1.69,88,B
1.83,1.7,58,B
1.81,1.72,29,B
1.79,1.74,64,B
1.78,1.76,19,B
1.76,1.78,18,B
1.74,1.79,67,B
1.72,1.81,84,B
1.71,1.83,93,B
1.69,1.84,6,B
1.67,1.86,8,B
1.65,1.88,47,B
1.63,1.89,42,B
1.61,1.91,40,B
1.59,1.93,76,B
1.57,1.94,28,B
1.55,1.96,8,B
1.53,1.97,82,B
1.51,1.99,21,B
1.49,2.0,90,B
1.47,2.02,42,B
1.45,2.03,95,B
1.43,2.05,81,B
1.41,2.06,91,B
1.39,2.08,60,B
1.37,2.09,91,B
1.35,2.1,90,B
1.33,2.12,83,B
1.31,2.13,98,B
1.29,2.14,53,B
1.27,2.16,58,B
1.24,2.17,34,B
1.22,2.18,39,B
1.2,2.19,23,B
1.18,2.2,42,B
1.16,2.22,29,B
