car_id,target_class
P17494612l,gear_stick
N-1530212S,engine_overheat
B-1154399t,engine_check
F12725233R,engine_check
l-1139189J,another_bug
U75286923j,engine_overheat
T-7479831o,engine_overheat
B-1369793u,another_bug
Y-1289786X,engine_overheat
C29045893T,engine_overheat
v-1730983R,engine_check
I20727212Q,gear_stick
p48812438h,engine_overheat
T-2633971l,gear_stick
V-9683916q,engine_overheat
P68488505Z,engine_check
W23907639f,engine_overheat
A22674788w,gear_stick
y-1252277z,engine_check
u21168983D,engine_check
x12753662A,engine_check
v-7435255a,engine_overheat
E12421362P,engine_check
J35738918W,engine_overheat
T16973122B,engine_overheat
p-5671458M,engine_check
I68086031c,engine_check
D69722395r,engine_overheat
X10967418c,engine_check
q-1489273f,engine_overheat
C-1903701S,engine_overheat
r11820515d,engine_overheat
x12397432S,gear_stick
Q50389908q,engine_overheat
B18597537S,engine_overheat
S-9537522o,engine_overheat
a10623296X,engine_check
R28123139u,another_bug
h-1451730v,engine_overheat
d-1257449w,engine_overheat
N11419190t,engine_check
k63904133P,engine_check
J92413639E,engine_check
b-3875784F,engine_overheat
f15183722K,engine_check
c-1874297z,gear_stick
E16971328N,engine_overheat
H18110876A,engine_check
P-1301418D,engine_check
b-9697936F,engine_overheat
H-4258275m,engine_check
H10655858l,engine_check
w-1481290E,gear_stick
C40885722w,gear_stick
f15625319Q,gear_stick
B42019578p,gear_stick
T65731704H,engine_check
e30424190o,gear_stick
w-1081221i,gear_stick
E48110445u,gear_stick
u73256394H,engine_check
m17237645h,engine_check
q-1403429B,engine_check
E-1889080W,engine_overheat
b-1781291I,gear_stick
P77959737c,engine_check
h17474551u,engine_check
d17705773B,engine_check
s-2080909j,engine_check
N18448941g,engine_overheat
P17953716g,engine_check
i94781425U,engine_check
L-2155385D,engine_overheat
Q21449479D,engine_check
z-1790906x,engine_overheat
C-4338027c,engine_check
F13621020y,engine_check
P-1981563m,another_bug
B20284663C,engine_overheat
X-5672837D,engine_check
f-8313064a,gear_stick
S16867324D,engine_overheat
l81011564d,engine_overheat
T-7878324V,engine_check
X49290901c,engine_check
N15373595s,engine_check
g-1912309G,gear_stick
G23848056z,engine_check
w-3530598y,engine_check
s-4092655x,engine_check
v60921451s,engine_check
A-5309696c,engine_overheat
a21437857o,engine_check
r-2049651S,engine_overheat
c48174687o,engine_check
n57986901A,gear_stick
J43552505w,gear_stick
X69815445k,electro_bug
Y31463755z,gear_stick
C-1846243L,engine_overheat
z10378875g,engine_check
B-1843237q,another_bug
I-8201538D,gear_stick
k-7853395L,engine_check
H-3154020d,engine_check
v11532085a,engine_overheat
o-1004837T,engine_check
E15850759P,engine_overheat
S11046237d,engine_check
i19615927E,engine_check
h24674210l,gear_stick
j-1003273K,engine_overheat
i18120580r,gear_stick
t35781257E,gear_stick
S-7977049s,engine_check
H10411834F,engine_overheat
o29701218V,engine_check
E-1304820y,gear_stick
V56226787D,engine_check
I-9571675o,engine_check
a-1832317K,another_bug
H-9271579x,engine_overheat
H15689477U,engine_check
J-8699353u,engine_overheat
S-6497022N,engine_overheat
g11521087z,engine_overheat
Q-1114187O,another_bug
a-1510716r,engine_overheat
G12673775u,engine_check
V-1604890W,engine_overheat
o-8858693p,engine_check
F84870593a,engine_check
j17532274g,engine_overheat
l-1283385g,engine_check
s-2062095H,engine_overheat
X13157100E,engine_check
h-2273764e,engine_overheat
B-2140476J,gear_stick
p-8263041e,gear_stick
Y-1681893d,engine_check
w-1017091K,gear_stick
M-1236720D,engine_check
I-7194770x,engine_check
m13987388S,electro_bug
w17315089Z,electro_bug
f-1380237E,engine_overheat
P10499796W,gear_stick
l-1844181l,gear_stick
g13957568L,engine_overheat
R-5598576l,gear_stick
n59321309Q,engine_overheat
R-1193631X,engine_check
y-2178923H,gear_stick
m73284992F,engine_check
Z-2537370X,engine_check
t17276860j,engine_overheat
y33047270r,engine_overheat
b-9079908N,engine_check
q92579907V,engine_overheat
Z94669875T,engine_check
M86375856k,engine_check
c23067621B,gear_stick
L-1838617u,engine_overheat
s-1063517N,engine_check
x-1172003m,engine_overheat
Q10654514V,engine_overheat
A-3425095J,engine_overheat
F-1854480x,another_bug
C-1953190j,engine_check
l41267361i,gear_stick
N90091958O,gear_stick
z20306091J,engine_overheat
F94970727I,engine_overheat
M14830267a,electro_bug
i-1101173g,engine_check
l-7821340d,engine_check
I18827052n,engine_check
Z14111948t,gear_stick
