iter	RMSE	MAE	MAPE
0	17.43917765	13.736191	0.3298729712
1	17.35914479	13.65814701	0.3279797414
2	17.18454687	13.50768592	0.3244110421
3	17.01385018	13.34273086	0.3204780035
4	16.82171702	13.15455972	0.3159329722
5	16.68574491	13.01722322	0.3125302111
6	16.51880885	12.89572771	0.3097924055
7	16.44430702	12.83642477	0.3084049845
8	16.31122543	12.70109499	0.3050498371
9	16.17670072	12.58342601	0.3022077327
10	16.05404854	12.45870451	0.2991410527
11	15.97282495	12.38038902	0.2971675168
12	15.88704481	12.29547293	0.2951020337
13	15.74053638	12.16998852	0.2921451336
14	15.66633374	12.10123257	0.290530872
15	15.5482005	11.9963837	0.2880024921
16	15.41871095	11.88696503	0.2854172749
17	15.29677214	11.78273182	0.2829366704
18	15.2457287	11.72964059	0.2816428574
19	15.22610196	11.71748588	0.2813946117
20	15.11164397	11.61705144	0.2789853289
21	15.06392874	11.56662996	0.277756199
22	14.93023129	11.44045939	0.2746863693
23	14.82146035	11.34922731	0.2724873345
24	14.68395362	11.24065924	0.2700384327
25	14.60626865	11.1553037	0.2678772456
26	14.55006841	11.10327861	0.2665496839
27	14.44860878	11.01797414	0.2645264243
28	14.34791958	10.93633791	0.2626266192
29	14.2478872	10.85140203	0.2606325673
30	14.16458098	10.79375696	0.2593532758
31	14.09936972	10.72553455	0.2576452805
32	14.05600864	10.6929845	0.2568927691
33	13.96190178	10.60530769	0.2547572236
34	13.87349708	10.52562522	0.2528264442
35	13.79714037	10.47445662	0.2516764754
36	13.70745833	10.40613939	0.250107799
37	13.64717774	10.36558642	0.2491999649
38	13.60333305	10.315992	0.2479398003
39	13.51946863	10.25055973	0.2464268254
40	13.45572129	10.20212868	0.2452174827
41	13.37455641	10.13953064	0.2437813002
42	13.34519986	10.11741138	0.2432325281
43	13.32992625	10.10727991	0.2430107148
44	13.32033024	10.10049316	0.2428494668
45	13.29084762	10.07713112	0.2422398092
46	13.27526744	10.05779718	0.2417689852
47	13.23000171	10.01195089	0.2406328031
48	13.17943659	9.979234016	0.2398840663
49	13.16096443	9.959287554	0.2393878443
50	13.12797962	9.926067065	0.2385848662
51	13.08130781	9.895249434	0.2378744654
52	13.03417033	9.859855006	0.2369879325
53	13.01187592	9.84373701	0.236587397
54	12.96161615	9.806694551	0.2357075711
55	12.91402936	9.772720018	0.2348972049
56	12.88047071	9.736560612	0.2339805471
57	12.84844094	9.704608425	0.2331880101
58	12.80820929	9.673921232	0.2324049907
59	12.77878011	9.639920638	0.2315236509
60	12.73729285	9.612770505	0.2308724447
61	12.71982131	9.599401531	0.2305726395
62	12.70266629	9.584881377	0.2301839858
63	12.68946894	9.575929094	0.22996806
64	12.64077085	9.536920203	0.2290510583
65	12.61427743	9.507221188	0.2282740592
66	12.57548064	9.481557148	0.2276543538
67	12.5394031	9.458429922	0.2271054747
68	12.52934983	9.452609033	0.2269701495
69	12.5198465	9.446681259	0.2268314665
70	12.4892853	9.427956005	0.2263885128
71	12.46312031	9.407576624	0.2258538212
72	12.44777344	9.395850099	0.2255818265
73	12.40515683	9.361887944	0.2247814036
74	12.3758626	9.341514398	0.2242773
75	12.35676468	9.319756872	0.2237472465
76	12.34444353	9.306468297	0.2234185369
77	12.32188457	9.286487343	0.2228923035
78	12.31206808	9.279082869	0.2227147959
79	12.3011955	9.270509711	0.2225175946
80	12.29055599	9.258501077	0.2222221376
81	12.28014702	9.24947721	0.2219699964
82	12.27081182	9.242092706	0.2217631407
83	12.25039991	9.227514852	0.221371785
84	12.24041868	9.216392088	0.2210986764
85	12.20869236	9.18697118	0.2203374619
86	12.19857619	9.180390836	0.2201766121
87	12.18098706	9.162830447	0.2197463957
88	12.15082786	9.139850581	0.2191876004
89	12.14251756	9.131346351	0.2189754944
90	12.13317866	9.124385886	0.2187850924
91	12.12032168	9.111943107	0.2184852602
92	12.11140137	9.104952474	0.2182849298
93	12.10331876	9.098699568	0.2181038404
94	12.09592523	9.091046716	0.2179172336
95	12.07078256	9.071932374	0.2174655415
96	12.04709836	9.054275566	0.2170434665
97	12.03186155	9.042106101	0.2167103398
98	12.02361985	9.035317087	0.216543284
99	12.01884155	9.031931958	0.2164596638
100	12.01718527	9.031049276	0.2164320128
101	12.01184186	9.026623884	0.2163187402
102	12.00656693	9.022967392	0.216233709
103	12.00319948	9.017859295	0.2161115295
104	11.98721901	9.003391121	0.215728963
105	11.98343353	9.000263408	0.2156470638
106	11.96530124	8.98534523	0.215235145
107	11.94775217	8.973220079	0.2148979532
108	11.93125087	8.962848361	0.2146414443
109	11.92829054	8.961351831	0.2145969174
110	11.92369337	8.95849947	0.2145169763
111	11.90978734	8.949399197	0.2142875478
112	11.90508504	8.94583752	0.2141920993
113	11.89440344	8.935373149	0.2139384618
114	11.89204057	8.93432192	0.2139128289
115	11.8865996	8.929257244	0.2137650974
116	11.87809806	8.923027663	0.2135897651
117	11.87119178	8.917281446	0.2134262606
