iter	Passed	Remaining
0	41	41366
1	58	29303
2	81	26938
3	103	25822
4	125	25063
5	147	24413
6	168	23878
7	188	23409
8	208	22911
9	226	22441
10	245	22060
11	259	21340
12	276	20957
13	290	20439
14	308	20275
15	323	19885
16	333	19310
17	352	19208
18	370	19153
19	393	19280
20	412	19232
21	421	18722
22	441	18740
23	463	18839
24	483	18842
25	499	18699
26	519	18727
27	538	18697
28	558	18700
29	575	18616
30	593	18548
31	607	18364
32	626	18346
33	644	18325
34	663	18288
35	680	18222
36	698	18184
37	718	18187
38	735	18120
39	754	18096
40	770	18022
41	787	17956
42	797	17760
43	815	17707
44	832	17668
45	849	17609
46	867	17598
47	882	17495
48	900	17472
49	916	17420
50	933	17363
51	948	17287
52	956	17094
53	972	17033
54	989	17003
55	1011	17058
56	1047	17322
57	1055	17150
58	1074	17144
59	1093	17128
60	1113	17135
61	1131	17117
62	1138	16932
63	1154	16890
64	1173	16879
65	1190	16846
66	1207	16818
67	1225	16801
68	1245	16801
69	1263	16784
70	1282	16776
71	1303	16795
72	1321	16776
73	1340	16769
74	1358	16753
75	1376	16739
76	1396	16743
77	1415	16729
78	1433	16711
79	1452	16707
80	1471	16693
81	1489	16679
82	1509	16676
83	1528	16664
84	1547	16656
85	1566	16644
86	1585	16636
87	1604	16625
88	1622	16611
89	1641	16596
90	1660	16587
91	1679	16580
92	1698	16569
93	1718	16564
94	1737	16547
95	1756	16536
96	1775	16524
97	1794	16517
98	1812	16493
99	1830	16476
100	1851	16480
101	1868	16453
102	1886	16433
103	1906	16421
104	1925	16410
105	1944	16396
106	1962	16380
107	1982	16373
108	2002	16369
109	2018	16335
110	2036	16313
111	2055	16294
112	2075	16288
113	2093	16272
114	2112	16256
115	2130	16232
116	2147	16206
117	2166	16194
118	2184	16172
119	2201	16145
120	2219	16122
121	2236	16096
122	2253	16070
123	2271	16043
124	2288	16020
125	2306	15999
126	2323	15969
127	2340	15947
128	2358	15921
129	2374	15892
130	2392	15869
131	2409	15846
132	2426	15819
133	2444	15799
134	2462	15775
135	2479	15752
136	2498	15738
137	2516	15717
138	2533	15694
139	2550	15670
140	2569	15654
141	2590	15649
142	2607	15628
143	2625	15605
144	2643	15587
145	2661	15569
146	2677	15537
147	2696	15520
148	2714	15501
149	2732	15481
150	2749	15461
151	2766	15435
152	2785	15419
153	2801	15392
154	2820	15374
155	2837	15352
156	2852	15317
157	2870	15298
158	2888	15276
159	2905	15253
160	2922	15231
161	2939	15204
162	2957	15187
163	2975	15168
164	2993	15146
165	3010	15122
166	3027	15101
167	3044	15076
168	3062	15057
169	3079	15033
170	3097	15018
171	3114	14991
172	3131	14967
173	3148	14945
174	3165	14922
175	3181	14896
176	3199	14874
177	3215	14848
178	3233	14829
179	3250	14807
180	3266	14778
181	3284	14762
182	3301	14741
183	3318	14718
184	3334	14690
185	3348	14654
186	3365	14632
187	3384	14616
188	3402	14600
189	3420	14581
190	3437	14558
191	3454	14536
192	3472	14518
193	3489	14496
194	3505	14473
195	3523	14453
196	3541	14434
197	3559	14416
