iter	Passed	Remaining
0	56	84167
1	56	42461
2	57	28815
3	58	21787
4	58	17555
5	59	14934
6	61	13165
7	62	11609
8	62	10372
9	63	9483
10	63	8653
11	64	7972
12	64	7397
13	64	6899
14	65	6469
15	65	6099
16	66	5828
17	67	5530
18	67	5260
19	67	5027
20	68	4800
21	69	4642
22	69	4457
23	69	4289
24	70	4135
25	70	3993
26	70	3864
27	71	3753
28	71	3636
29	72	3528
30	72	3430
31	72	3333
32	72	3244
33	73	3160
34	73	3083
35	73	3008
36	74	2939
37	74	2870
38	75	2811
39	75	2754
40	75	2701
41	77	2673
42	77	2622
43	77	2573
44	78	2526
45	78	2481
46	78	2435
47	79	2393
48	79	2353
49	79	2315
50	80	2278
51	80	2245
52	80	2210
53	81	2175
54	81	2145
55	81	2111
56	82	2080
57	82	2050
58	82	2022
59	83	2011
60	84	1983
61	84	1958
62	84	1932
63	85	1908
64	85	1882
65	85	1860
66	86	1854
67	87	1832
68	87	1809
69	87	1787
70	87	1768
71	88	1762
72	89	1746
73	89	1728
74	89	1709
75	90	1691
76	90	1674
77	90	1656
78	91	1641
79	91	1624
80	91	1607
81	92	1593
82	92	1578
83	93	1575
84	93	1561
85	94	1545
86	94	1531
87	94	1518
88	94	1505
89	95	1493
90	95	1481
91	96	1470
92	96	1457
93	96	1444
94	96	1433
95	97	1422
96	97	1411
97	97	1399
98	98	1389
99	98	1377
100	98	1366
101	98	1356
102	99	1346
103	99	1335
104	99	1326
105	100	1316
106	100	1308
107	100	1299
108	101	1291
109	102	1289
110	102	1279
111	102	1271
112	102	1262
113	103	1253
114	103	1245
115	104	1248
116	105	1241
117	105	1235
118	105	1228
119	106	1221
120	106	1214
121	107	1209
122	107	1203
123	107	1195
124	108	1188
125	108	1182
126	108	1174
127	109	1168
128	109	1161
129	109	1154
130	109	1147
131	110	1141
132	110	1134
133	110	1127
134	110	1121
135	111	1115
136	111	1109
137	111	1103
138	112	1097
139	112	1092
140	112	1087
141	113	1082
142	113	1076
143	113	1070
144	114	1066
145	114	1061
146	114	1056
147	115	1051
148	115	1046
149	116	1048
150	116	1043
151	117	1038
152	117	1034
153	117	1029
154	118	1024
155	118	1018
156	118	1013
157	118	1010
158	119	1006
159	119	1002
160	120	998
161	120	994
162	120	989
163	121	986
164	121	981
165	121	977
166	121	973
167	122	969
168	122	964
169	122	960
170	123	956
171	124	959
172	124	955
173	124	952
174	125	948
175	125	945
176	125	941
177	126	937
178	126	934
179	127	931
180	127	928
181	128	931
182	128	927
183	129	928
184	130	926
185	130	922
186	130	919
187	131	916
188	131	912
189	131	908
190	132	904
191	132	901
192	132	897
193	132	893
194	132	889
195	133	886
196	133	883
197	133	880
198	134	876
199	134	873
200	134	870
201	135	867
202	135	865
203	135	862
204	136	859
205	136	855
206	136	853
207	136	850
208	137	847
209	137	845
210	137	842
211	138	841
212	138	838
213	139	835
214	139	834
215	139	831
216	140	828
217	140	826
218	140	823
219	140	820
220	141	817
221	141	815
222	141	813
223	142	811
224	142	809
225	143	806
226	143	804
227	143	801
228	143	798
229	144	796
230	144	794
231	144	792
232	145	793
233	146	790
234	146	788
235	146	786
236	147	783
237	147	781
238	147	778
239	147	776
240	148	773
241	148	771
242	148	769
243	149	768
244	149	765
245	149	763
246	150	761
247	150	759
248	150	758
249	151	756
250	151	754
251	151	751
252	152	749
253	153	751
254	153	749
255	153	746
256	154	744
257	154	743
258	154	741
259	155	739
260	155	737
261	155	735
262	155	733
263	156	731
264	156	729
265	156	727
266	156	724
267	157	725
268	158	723
269	158	721
270	158	719
271	159	718
272	159	716
273	159	714
274	160	713
275	160	710
276	160	709
277	161	708
278	161	706
279	161	705
280	162	703
281	162	701
282	162	699
283	163	698
284	163	697
285	163	695
286	164	693
287	164	691
288	164	689
289	164	687
290	165	685
291	165	683
292	165	682
293	165	680
294	166	679
295	166	677
296	167	678
297	168	678
298	168	677
299	169	676
300	169	674
301	169	673
302	170	671
303	170	670
304	170	669
305	171	667
306	171	665
307	171	665
308	172	663
309	172	662
310	173	661
311	173	660
312	173	658
313	174	657
314	174	656
315	174	654
316	175	653
317	175	652
318	179	663
319	180	664
320	180	663
321	181	665
322	182	664
323	183	664
324	183	664
325	185	666
326	185	666
327	186	666
328	187	666
329	188	668
330	189	667
331	189	666
332	190	666
333	190	666
334	191	665
335	191	664
336	192	663
337	192	662
338	193	661
339	193	660
340	194	659
341	194	658
342	194	657
343	195	655
344	195	655
345	196	655
346	197	657
347	199	659
348	199	658
349	199	656
350	200	655
351	200	654
352	201	656
353	202	654
354	202	653
355	202	652
356	203	651
357	203	649
358	203	648
359	204	646
360	204	645
361	204	644
362	205	642
363	206	643
364	206	642
365	207	641
366	207	640
367	207	638
368	207	637
369	208	636
370	208	634
371	208	633
372	209	632
373	209	630
374	209	629
375	210	628
376	210	626
377	210	625
378	210	624
379	211	622
380	211	621
381	211	619
382	212	618
383	212	616
384	212	615
385	212	614
386	213	613
387	213	611
388	213	610
389	213	609
390	214	607
391	214	606
392	214	604
393	215	603
394	215	602
395	215	601
396	215	599
397	216	598
398	216	597
399	216	596
400	217	594
401	217	594
402	217	592
403	218	591
404	218	590
405	218	589
406	219	588
407	219	587
408	219	586
409	220	584
410	220	583
411	220	582
412	221	581
413	221	580
414	221	579
415	221	578
416	222	577
417	222	575
418	222	574
419	223	573
420	223	572
421	223	571
422	224	570
423	224	569
424	224	568
425	224	567
426	225	566
427	225	565
428	225	564
429	226	562
430	226	562
431	226	560
432	227	559
433	227	558
434	227	557
435	227	556
436	228	555
437	228	554
438	228	553
439	229	552
440	229	550
441	229	550
442	230	548
443	230	547
444	230	546
445	230	545
446	231	544
447	231	543
448	231	542
449	232	541
450	232	540
451	232	539
452	233	538
453	233	537
454	233	536
455	233	535
456	234	534
457	234	533
458	234	532
459	235	531
460	235	530
461	235	529
462	236	528
463	236	528
464	237	527
465	237	526
466	237	525
467	238	524
468	238	524
469	238	523
470	239	522
471	239	521
472	239	520
473	240	520
474	241	520
475	241	519
476	241	518
477	241	517
478	242	515
479	242	516
480	243	515
481	243	514
482	243	513
483	244	512
484	244	511
485	244	510
486	244	509
487	245	508
488	245	507
489	245	506
490	246	505
491	246	505
492	247	505
493	248	505
494	248	504
495	248	503
496	248	502
497	249	501
498	249	500
499	249	499
500	249	498
501	250	497
502	250	497
503	251	496
504	251	495
505	251	494
506	252	493
507	252	492
508	252	492
509	253	491
510	253	490
511	253	489
512	253	488
513	254	487
514	254	486
515	254	486
516	255	485
517	255	484
518	256	483
519	256	482
520	256	482
521	256	481
522	257	480
523	257	479
524	257	478
525	258	477
526	258	476
527	258	475
528	258	475
529	259	474
530	259	473
531	259	472
532	259	471
533	260	470
534	260	469
535	260	468
536	261	468
537	261	467
538	261	466
539	261	465
540	262	465
541	262	464
542	263	463
543	263	462
544	263	462
545	264	461
546	264	460
547	265	460
548	265	459
549	265	459
550	266	458
551	266	457
552	266	456
553	267	456
554	267	456
555	268	455
556	268	454
557	268	453
558	269	453
559	269	452
560	269	451
561	270	450
562	270	450
563	270	449
564	271	448
565	271	447
566	271	447
567	272	446
568	272	445
569	272	445
570	273	444
571	273	443
572	273	442
573	274	442
574	274	441
575	274	440
576	275	439
577	275	439
578	275	438
579	275	437
580	276	436
581	276	435
582	276	435
583	277	434
584	277	433
585	277	433
586	278	433
587	279	432
588	279	432
589	279	431
590	279	430
591	280	430
592	280	429
593	281	428
594	281	427
595	281	427
596	281	426
597	282	425
598	282	424
599	282	424
600	283	423
601	283	422
602	284	422
603	284	421
604	284	420
605	284	420
606	285	419
607	285	418
608	285	418
609	286	417
610	286	416
611	286	416
612	287	415
613	287	414
614	287	414
615	287	413
616	288	412
617	288	412
618	289	411
619	289	411
620	290	410
621	290	409
622	290	409
623	291	408
624	291	407
625	291	406
626	291	406
627	292	405
628	292	404
629	292	404
630	293	403
631	293	402
632	293	402
633	293	401
634	294	400
635	294	400
636	294	399
637	294	398
638	295	398
639	295	397
640	296	396
641	296	396
642	296	395
643	296	394
644	297	394
645	297	393
646	298	393
647	298	392
648	298	391
649	299	391
650	299	390
651	299	389
652	300	389
653	300	388
654	300	387
655	301	387
656	301	386
657	301	385
658	301	385
659	302	384
660	302	384
661	303	383
662	303	383
663	303	382
664	304	381
665	304	381
666	304	380
667	305	379
668	305	379
669	305	378
670	305	377
671	306	377
672	306	376
673	306	375
674	307	375
675	307	374
676	307	374
677	308	373
678	309	373
679	309	372
680	309	372
681	309	371
682	310	370
683	310	370
684	310	369
685	311	369
686	311	368
687	311	367
688	311	366
689	312	366
690	312	365
691	312	365
692	313	364
693	313	364
694	313	363
695	314	362
696	314	362
697	314	361
698	315	361
699	315	360
700	316	360
701	316	359
702	316	359
703	317	358
704	317	357
705	317	357
706	317	356
707	318	355
708	318	355
709	318	354
710	319	354
711	319	353
712	319	353
713	320	352
714	320	351
715	320	351
716	321	350
717	321	350
718	321	349
719	322	348
720	322	348
721	322	347
722	323	347
723	323	346
724	323	346
725	324	345
726	324	344
727	324	344
728	324	343
729	325	343
730	326	343
731	326	342
732	327	342
733	327	341
734	327	340
735	327	340
736	328	339
737	328	339
738	328	338
739	329	338
740	330	338
741	330	337
742	331	338
743	332	337
744	332	337
745	332	336
746	333	336
747	333	335
748	334	334
749	334	334
750	334	333
751	335	333
752	335	332
753	335	332
754	335	331
755	336	330
756	336	330
757	336	329
758	337	329
759	337	328
760	338	328
761	338	327
762	338	327
763	339	326
764	339	326
765	339	325
766	340	325
767	340	324
768	340	324
769	341	323
770	341	322
771	341	322
772	342	321
773	342	321
774	342	320
775	343	320
776	343	319
777	343	318
778	343	318
779	344	317
780	344	317
781	344	316
782	345	316
783	345	315
784	345	315
785	346	314
786	346	313
