car_id,target_class
y13744087j,another_bug
O41613818T,electro_bug
d-2109686j,gear_stick
u29695600e,engine_fuel
N-8915870N,engine_fuel
b12101843B,engine_overheat
Q-9368117S,engine_fuel
O-2124190y,gear_stick
h16895544p,gear_stick
K77009462l,gear_stick
s45684436W,engine_check
E-7624014J,electro_bug
I49569137x,engine_check
f20619972B,engine_check
N18554472N,engine_check
O-2225875m,wheel_shake
B11433908y,engine_fuel
K20059604P,electro_bug
D10115495S,gear_stick
s-2136281x,engine_fuel
z72983842Y,gear_stick
s-1094161i,engine_check
Z-1155909A,engine_overheat
Z-1196295K,engine_ignition
i31421704Y,engine_check
t10463236f,engine_ignition
v13404305i,break_bug
m20203244V,engine_fuel
k-1015732Y,engine_overheat
m-8965256V,engine_ignition
U13022243O,electro_bug
j12330862q,gear_stick
C-5320082T,electro_bug
s17672064L,gear_stick
d19359573S,engine_overheat
O22361854N,engine_ignition
i-1479300M,engine_check
L60286103R,break_bug
p26377723i,break_bug
W-1512641W,engine_ignition
y-3838245t,engine_ignition
b-2719977Z,another_bug
D-2109758O,engine_fuel
M89853598O,engine_overheat
z34396656x,engine_overheat
S19803153J,another_bug
y35650754l,wheel_shake
U-1719392C,engine_ignition
Q12359942h,electro_bug
F-2082660j,engine_ignition
C15164392z,electro_bug
A-6969550V,engine_overheat
H21489304G,another_bug
Y-4731644Z,electro_bug
Y-1002609O,gear_stick
q11941907L,engine_ignition
W17831606Y,another_bug
u-1788771U,engine_fuel
F-1257166O,engine_ignition
k82740809C,engine_fuel
A13746070T,break_bug
E-1356165C,break_bug
w-1247670S,engine_overheat
t11173721p,engine_overheat
i-1340626g,electro_bug
G11530237Q,engine_overheat
z-1854947J,another_bug
G-1102710u,electro_bug
q-1861373D,another_bug
F-1720906M,another_bug
N-1361542t,engine_overheat
b-1432630h,wheel_shake
h-5381376K,engine_overheat
P-1870462h,break_bug
v-9248915k,gear_stick
K51907129A,electro_bug
X-1892335q,engine_overheat
v19385068r,wheel_shake
m-9741436p,electro_bug
I13605989C,wheel_shake
C-1374739x,another_bug
h20080273C,wheel_shake
g-1944591e,engine_overheat
b17225071g,gear_stick
O13657804w,engine_overheat
V-7306183J,engine_fuel
A56074965v,engine_fuel
f19927901y,engine_check
a-7058206h,another_bug
a55365942d,engine_fuel
z-1220018d,wheel_shake
R21058725x,engine_overheat
b-2371028p,engine_fuel
G43865383Q,electro_bug
e78313402L,wheel_shake
d-6672088A,engine_check
b-8415196u,another_bug
N18957837j,engine_overheat
v69592222X,another_bug
n19871201N,another_bug
A-1683178f,engine_fuel
c-1462399e,engine_ignition
C38293729H,engine_fuel
M-4645533N,break_bug
i22101695X,engine_check
c22334367p,engine_overheat
S61532080S,engine_overheat
W-3482364r,another_bug
r-1098555x,engine_fuel
J-2221564E,engine_ignition
t89744603y,another_bug
R22777636m,wheel_shake
g95201799l,engine_overheat
b18050488U,break_bug
C-2187827F,engine_overheat
a-6471303K,engine_fuel
u16335953I,engine_check
Z-1478978u,another_bug
u-1774078g,another_bug
e13179173i,engine_ignition
V-9361538G,break_bug
C22072062B,engine_ignition
E68314843q,engine_overheat
k88534152q,wheel_shake
q12920406o,electro_bug
u-1057398c,engine_ignition
s-3746188l,break_bug
j37934708f,engine_ignition
M-2125716U,gear_stick
A-6734908O,engine_check
f82085811L,engine_check
T-1299777v,electro_bug
i21928776j,gear_stick
y11348057n,engine_check
a-1515400J,engine_overheat
S17262804N,wheel_shake
W14795073t,engine_fuel
u-1594350q,engine_fuel
j-1145477E,engine_fuel
a-7125351Z,engine_fuel
C73458374Q,engine_check
H42487546s,electro_bug
f-4873956c,engine_fuel
n-2171056h,gear_stick
B18328752a,break_bug
N-4929388x,engine_ignition
s-1723833v,engine_check
N15139629D,engine_overheat
z-3170763V,gear_stick
w-2294853S,another_bug
v13590850L,engine_overheat
N-7018320r,engine_ignition
C-8860661H,gear_stick
e-1657282o,engine_overheat
a-1090366N,engine_fuel
T-1979577d,electro_bug
T10443943B,break_bug
C-7059083l,electro_bug
V-2775445H,electro_bug
Y-1359331n,engine_check
J-3845561g,engine_check
J-1519931T,break_bug
w-1534281h,gear_stick
q25090977a,engine_ignition
P14343623p,electro_bug
S87921938R,gear_stick
Z-2503410m,break_bug
X15138491s,engine_fuel
s12797973g,engine_check
S-2166867a,engine_check
l21968436d,engine_overheat
e48349275H,gear_stick
J-2076735y,gear_stick
H73023939E,engine_ignition
N-6929570j,engine_overheat
a68025486E,electro_bug
q-4068323Z,electro_bug
V15348382y,engine_overheat
u14532736a,engine_overheat
V40334761U,electro_bug
B-2214084P,wheel_shake
q-1404140E,electro_bug
A-3681208u,engine_ignition
E16896376o,engine_overheat
d-2534590I,engine_check
S-1965116I,break_bug
b-4266665E,wheel_shake
I13914989Z,engine_overheat
m47130393l,engine_ignition
Q-7410329X,engine_overheat
d-1297927q,engine_check
f-1056352e,break_bug
u-2070489i,electro_bug
C16363758Y,electro_bug
i14933910A,engine_ignition
r-1475357U,break_bug
X61893871I,another_bug
j-1317678J,another_bug
